#LineNumber;DirectionCode;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
1;1;10008;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10012;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10014;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10016;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10019;2013-03-29 00:00:00.000;2013-03-29 00:00:00.000
1;1;10024;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10026;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10028;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10029;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10031;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10034;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10037;2014-05-06 00:00:00.000;2014-05-06 00:00:00.000
1;1;10040;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10045;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10052;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10054;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10056;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10058;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10060;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10062;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10153;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10155;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10369;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10421;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10449;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10451;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10453;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10455;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10462;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10645;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
1;1;10733;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;1;10736;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
1;2;10008;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
