#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
1;1;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
1;1;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
2;2;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
2;2;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
3;3;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
3;3;Waxholmsbolagets;SHIP;2009-08-29 00:00:00.000;2009-08-29 00:00:00.000
4;4;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
4;4;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
5;5;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
7;7;Spårvagn linje;TRAM;2010-07-27 00:00:00.000;2010-07-27 00:00:00.000
7;7;Waxholmsbolagets;SHIP;2009-08-29 00:00:00.000;2009-08-29 00:00:00.000
8;8;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
9;9;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
10;10;tunnelbanans blå linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
11;11;tunnelbanans blå linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
11;11;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
12;12;Nockebybanan;TRAM;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
12;12;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
13;13;tunnelbanans röda linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
13;13;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
14;14;tunnelbanans röda linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
14;14;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
15;15;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
16;16;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
17;17;tunnelbanans gröna linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
17;17;Waxholmsbolagets;SHIP;2009-09-02 00:00:00.000;2009-09-02 00:00:00.000
18;18;tunnelbanans gröna linje;METRO;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
