#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
4432;Abborrkroksvägen;41483;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4314;Abborrsjön;41187;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7588;Abborrstigen;75179;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6056;Abborrvägen;64480;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9110;Abrahamsberg;1221;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9110;Abrahamsberg;12001;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3640;Abrahamsbergsskolan;12003;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3643;Abrahamsbergsvägen;12009;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6517;Abrahamsby;64661;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6582;Abrahamsby vägskäl;64872;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6389;Addarsnäs fritidsområde;65123;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6388;Addarsnäs vägskäl;65121;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6387;Addeboda;65119;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3166;Adelsö färjeläge;15695;2012-08-13 15:32:46.770;2012-08-14 00:00:00.000
3166;Adelsö färjeläge;15832;2012-08-13 15:32:46.770;2012-08-14 00:00:00.000
3164;Adelsö gård;15580;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3160;Adelsö kyrka;15652;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7206;Adler Salvius väg;70811;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1033;Adolf Fredriks kyrka;10541;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7366;Advokatbacken;70456;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5831;Aftonvägen;51783;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7226;Aftonvägen;70775;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9248;Aga;21111;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9248;Aga;21321;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9248;Aga;22061;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009248;Agaplan;21111;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009248;Agaplan;21321;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009248;Agaplan;22061;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1704;Agnes Lagerstedts gata;14084;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3442;Agnesberg;50536;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9300;Akalla;3271;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9300;Akalla;51464;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009300;Akalla centrum;3271;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1009300;Akalla centrum;51464;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1096;Albano;69009;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5268;Albano;51091;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3255;Alby;15843;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6570;Alby;64835;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9282;Alby;2761;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9282;Alby;70008;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9282;Alby;70458;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7365;Alby (Lagmansbacken);2761;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7365;Alby (Lagmansbacken);70458;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7364;Alby centrum;2761;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7364;Alby centrum;70008;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8015;Alby friluftsgård;80042;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7269;Alby gård;72241;2013-09-30 14:06:12.017;2013-10-01 00:00:00.000
7361;Alby IP;70006;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9926;Alby kyrka;51867;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3462;Albydal;50226;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3562;Albygatan;50055;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9927;Albygatan;51868;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7245;Albyvägen;70010;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8462;Albyvägen;80637;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2617;Alceahuset;62305;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9994;Alceahuset;67128;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7761;Aldal;75314;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7200;Alfred Nobels allé;72208;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7859;Algatan;75014;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7360;Alhagsvägen;70004;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6564;Alhamra;64615;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7231;Alice Tegnérs väg;70414;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8518;Alkärrsplan;81459;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2206;Allégården;61931;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9128;Alléparken;4411;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9128;Alléparken;12019;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3105;Alléplan;15560;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3106;Allévägen;15555;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4231;Allévägen;41125;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5413;Allévägen;50878;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8093;Allfartsvägen;80393;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
312;Allmänna gränd;312;2013-03-14 09:27:35.623;2013-03-15 00:00:00.000
312;Allmänna gränd;8009;2013-03-14 09:27:35.623;2013-03-15 00:00:00.000
5757;Almarevägen;55033;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8413;Almedalsvägen;80741;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3172;Almlunda;15667;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7668;Almnäs;75374;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7665;Almnäs vägskäl;75350;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
508;Almvik;508;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8079;Almvik;81561;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6211;Almviks brygga;63435;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2259;Almvägen;61903;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4602;Almvägen;40034;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6855;Almvägen;63979;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7071;Almvägen;70306;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1007214;Almvägen;70449;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4048;Alphyddan;40106;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6908;Alphyddan;64301;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4050;Alphyddevägen;40801;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4058;Alphyddevägen nedre;40802;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4603;Alpvägen;80982;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6243;Alsvassen;63253;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
153;Alsvik;153;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6257;Alsvik;63243;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6257;Alsvik;505;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1649;Alsätravägen;13299;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9683;Altorp;6941;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9683;Altorp;60629;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5294;Altuna;52247;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2781;Aludden;62687;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9112;Alvik;1201;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9112;Alvik;4201;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9112;Alvik;4525;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9112;Alvik;12025;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3626;Alvik södra;12099;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3194;Alviken;15698;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9812;Alviks strand;4523;2013-09-26 06:26:03.187;2013-09-27 00:00:00.000
9812;Alviks strand;17201;2013-09-26 06:26:03.187;2013-09-27 00:00:00.000
3621;Alviksplan;12021;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3648;Alviksvägen;12022;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8312;Alvsta;81074;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1411;Ambassaderna;11029;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5535;Amorinavägen;51514;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7039;Anatomivägen;70200;2012-08-17 09:04:05.637;2012-08-18 00:00:00.000
2326;Anbudsvägen;60131;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5813;Andeboda;51803;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2792;Andelunden;62703;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1387;Anders Reimers väg;10960;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3413;Andersvägen;50160;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1151;Andra tvärvägen;10863;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5353;Anevägen;51288;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2430;Angarns kyrka;62507;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2438;Angarns-Veda;62260;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2457;Angleterre;62535;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6167;Angskär-Skogsvik;63021;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6168;Angskär-Solbacken;63023;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5550;Anhaltsvägen;50644;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5532;Aniaraplatsen;60731;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3702;Ankarstocksvägen;12119;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8580;Ankarudden;81428;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8580;Ankarudden;602;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3478;Ankdammsgatan;50047;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9762;Ankungen;16239;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7293;Annabergsvägen;72218;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1007615;Annalundsvägen;75056;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4222;Anneberg;41045;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1712;Anneboda;14025;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2863;Annedal;67807;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3688;Annedal;12145;2012-07-17 14:11:46.553;2012-07-18 00:00:00.000
3252;Annehill;15837;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7016;Annerstavägen;70480;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
