// Undantag hittade

1345 Mälartorget
7365 Alby
7364 Alby
3432 Bergshamra
3430 Bergshamra



Testa genom att kontrollera att det finns tunnelbanor med i resultatet:
http://api.sl.se/api2/realtimedepartures.json?key=bebfe14511a74ca5aef16db943ae8589&timewindow=50&siteid=<siteid att testa>



Från samtliga stationer i databasen:
id|siteid|sitename|latitude|longitude
1|9110|Abrahamsberg|59.3365630909855|17.9531728536484
2|9300|Akalla|59.4135751526267|17.9171595033746
3|9282|Alby|59.2393860393184|17.8454440837609
4|7365|Alby (Lagmansbacken)|59.2393860393184|17.8454440837609
5|7364|Alby centrum|59.2393860393184|17.8454440837609
6|9112|Alvik|59.3335280089945|17.9813295834273
7|9293|Aspudden|59.3063615665497|18.0018439972976
8|9291|Axelsberg|59.3043773365361|17.9755693156565
9|9141|Bagarmossen|59.2768259416979|18.1322049162886
10|9163|Bandhagen|59.270417254619|18.0496663734483
11|9202|Bergshamra|59.3807370943552|18.0374860876312
12|3432|Bergshamra centrum|59.3807370943552|18.0374860876312
13|3430|Bergshamra södra|59.3807370943552|18.0374860876312
14|9143|Björkhagen|59.2916379461619|18.1153458345701
15|9105|Blackeberg|59.3483700573461|17.8828507976348
16|9187|Blåsut|59.2911845751744|18.0911610763079
17|9289|Bredäng|59.2948025999799|17.9360054919783
18|9109|Brommaplan|59.3382848826814|17.9396416118668
19|1002|Centralen|59.3313179695028|18.0616773959365
20|9002|Cityterminalen|59.3313179695028|18.0616773959365
21|9201|Danderyds sjukhus|59.3905058082911|18.0417548416149
22|9324|Duvbo|59.3680793953108|17.9630809873331
23|9167|Enskede gård|59.2890605223369|18.070359269782
24|9181|Farsta|59.2448136772657|18.0925792576126
25|9180|Farsta strand|59.2355276839029|18.1012808998205
26|1565|Finn Malmgrens plan|59.2947468751046|18.1045842465346
27|9283|Fittja|59.2474292520423|17.8610002461975
28|1225|Fleminggatan/S:t Eriksgatan|59.3329774570606|18.0314880483801
29|9115|Fridhemsplan|59.3329774570606|18.0314880483801
30|9260|Fruängen|59.2867578385717|17.9648474589468
31|9193|Gamla stan|59.3234014331035|18.0671617033001
32|9168|Globen|59.294243451714|18.078006656399
33|9183|Gubbängen|59.2633249972723|18.0821386289724
34|7956|Gubbängen T-stn|59.2633249972723|18.0821386289724
35|1872|Gubbängens centrum|59.2633249972723|18.0821386289724
36|9189|Gullmarsplan|59.299184584465|18.080969851014
37|9221|Gärdet|59.3451607693221|18.0989717802474
38|9160|Hagsätra|59.2616540154908|18.0133647845506
39|9303|Hallonbergen|59.3743278170188|17.9691260920519
40|9281|Hallunda|59.2433285243852|17.8252597674357
41|7380|Hallunda centrum|59.2433285243852|17.8252597674357
42|7385|Hallunda T-station|59.2433285243852|17.8252597674357
43|9144|Hammarbyhöjden|59.2947468751046|18.1045842465346
